Customer_ID,Name,Gender,Age,City,Income,Join_Date
C001,Lina,Female,46.0,Surabaya,9433206.0,16/04/2021
C002,Rizki,Female,26.0,Bandng,9591820.0,2024-07-23
C003,Farah,Male,41.0,Jakarta,60000000.0,2023-07-08
C004,Farah,Female,35.0,Sby,6203437.0,28/03/2021
C005,Rizki,Female,,Bandng,12710329.0,18/10/2024
C006,Farah,Female,34.0,Sby,5728225.0,2023-04-26
C007,Bayu,Female,20.0,Sby,11160377.0,2021-06-30
C008,Sari,Male,59.0,Bali,7831999.0,01/01/2021
C009,Rina,Male,50.0,Bali,7241682.0,30/06/2022
C010,Fajar,Male,42.0,Jakarta,6872618.0,26/07/2021
C011,Andi,Male,500.0,Jakrta,10584458.0,2022-12-10
C012,Wati,Male,58.0,Surabaya,10327480.0,29/06/2021
C013,Putri,Male,500.0,Bandng,14550866.0,2023-11-03
C014,Sari,Female,46.0,JKT,8730736.0,15/12/2024
C015,Nina,Female,45.0,Bali,4234207.0,03/09/2022
C016,Mega,Male,58.0,Sby,3950910.0,2021-06-18
C017,Yusuf,Male,57.0,Jakarta,12325523.0,12/10/2022
C018,Dewi,Female,500.0,Jakrta,6521827.0,28/01/2022
C019,Dewi,Male,44.0,JKT,7738424.0,2024-06-24
C020,Yusuf,Male,24.0,JKT,10369825.0,22/01/2024
C021,Nina,Female,18.0,Bali,7969344.0,08/11/2023
C022,Rudi,Female,33.0,Jakrta,11378924.0,2024-09-02
C023,Wati,Male,57.0,JKT,4695550.0,2022-01-12
C024,Wati,Male,36.0,Jakarta,13961060.0,2022-05-20
C025,Rina,Female,21.0,Bandng,11334617.0,2021-03-03
C026,Indra,Male,56.0,Sby,12598024.0,18/03/2023
C027,Indra,Female,30.0,Bandng,13907376.0,06/05/2021
C028,Putri,Female,37.0,Jakarta,11009677.0,28/11/2023
C029,Agus,Male,,Jakarta,11265445.0,09/06/2021
C030,Putri,Female,48.0,Jakrta,10221603.0,2022-08-06
C031,Eka,Female,38.0,Jakarta,12029554.0,2022-03-23
